No.,IUPAC_Name,SMILES,Td/K,doi
entry595,"3,5-diamino-4,6-dinitropyridazine 1-oxide",O=[N+](C1=C(C2=C([N+]([O-])=O)NN=C2[N+]([O-])=O)NN=C1C3=C([N+]([O-])=O)NN=C3[N+]([O-])=O)[O-],573.15,10.1021/acs.inorgchem.1c01202
entry596,"3,5-bis(azidomethyl)-4H-1,2,4-triazol-4-amine",NN1C(CN2N=C([N+]([O-])=O)C(N)=C2[N+]([O-])=O)=NN=C1CN3N=C([N+]([O-])=O)C(N)=C3[N+]([O-])=O,560.15,10.1002/chem.201501612
entry597,"3,5-bis(4-nitro-1H-pyrazol-3-yl)-1,2,4-oxadiazole",O=[N+](C1=C(N[N+]([O-])=O)C([N+]([O-])=O)=NN1CC2=NNC(CN3N=C([N+]([O-])=O)C(N[N+]([O-])=O)=C3[N+]([O-])=O)=N2)[O-],395.15,10.1002/chem.201501612
entry598,"3,5-bis(3,5-dinitro-1H-pyrazol-4-yl)-1H-1,2,4-triazole",O=[N+](C1=C(NN=C1[N+]([O-])=O)C2=NC(C3=C([N+]([O-])=O)C([N+]([O-])=O)=NN3)=NN2)[O-],527.15,10.1039/d0ta09158h
entry599,"3,5-bis(3,4-dinitro-1H-pyrazol-5-yl)-1H-1,2,4-triazole",O=[N+](C1=NNC([N+]([O-])=O)=C1)[O-],472.15,10.1002/cplu.201800318
entry600,"3,5-bis(3,4-dinitro-1H-pyrazol-5-yl)-1,2,4-oxadiazole",O=[N+](C1=C([N+]([O-])=O)C([N+]([O-])=O)=NN1CC2=NN([N+]([O-])=O)C(CN3N=C([N+]([O-])=O)C([N+]([O-])=O)=C3[N+]([O-])=O)=N2)[O-],407.15,10.1002/chem.201501612
entry601,"3,5-bis(1,4-dinitro-1H-pyrazol-3-yl)-1,2,4-oxadiazole",IC(C(I)=C1I)=NN1CC2=NN=C(CN3N=C(I)C(I)=C3I)N2N,533.15,10.1016/j.cej.2019.02.192
entry602,"3,5-bis((3,4,5-trinitro-1H-pyrazol-1-yl)methyl)-4H-1,2,4-triazol-4-amine",[O-][N+]1=C(C2=NOC(N)=N2)C(N)=NO1,461.15, 10.1002/jhet.3109
entry603,"3,5-bis((3,4,5-trinitro-1H-pyrazol-1-yl)methyl)-1H-1,2,4-triazole",O=[N+](C1=CN([N+]([O-])=O)N=C1C2=NOC(C3=NN([N+]([O-])=O)C=C3[N+]([O-])=O)=N2)[O-],429.15,10.1002/cplu.201900454
entry604,"3,5-bis((3,4,5-triiodo-1H-pyrazol-1-yl)methyl)-4H-1,2,4-triazol-4-amine",IC(N=C1I)=C(I)N1CC2=NN=C(CN3C(I)=NC(I)=C3I)N2N,509.15,10.1016/j.cej.2019.02.192
entry605,"3,5-bis((2,4,5-triiodo-1H-imidazol-1-yl)methyl)-4H-1,2,4-triazol-4-amine",NC(NC1=NON=C1NC(N)=O)=O,512.15, 10.1002/jhet.3109
entry606,"3,4-dinitro-N1-(2,2,2-trinitroethyl)-1H-pyrazole-1,5-diamine",O=[N+](C1=NN(NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)C=C1[N+]([O-])=O)[O-],383.15,10.1039/c3ta15057g
entry607,"3,4-dinitro-N-(2,2,2-trinitroethyl)-1H-pyrazol-1-amine",NN1C(N)=C([N+]([O-])=O)C([N+]([O-])=O)=N1,527.15,10.1039/c3ta15057g
entry608,"3,4-dinitro-1H-pyrazole-1,5-diamine",NN1C=C([N+]([O-])=O)C([N+]([O-])=O)=N1,514.15,10.1039/c3ta15057g
entry609,"3,4-dinitro-1H-pyrazole",NC1=C([N+]([O-])=O)C([N+]([O-])=O)=NN1NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,379.15,10.1039/c3ta15057g
entry610,"3,4-dinitro-1H-pyrazol-1-amine",O=[N+](C1=CN(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N=C1[N+]([O-])=O)[O-],414.15,10.1002/asia.201500533
entry611,"3,4-dinitro-1-(trinitromethyl)-1H-pyrazole",O=[N+](NC1=NON=C1N[N+]([O-])=O)[O-],372.15, 10.1021/jacs.5b09831
entry612,"3,4-dicyano-1,2,5-oxadiazole 2-oxide",NC1=C([N+]([O-])=O)N=NN1N,467.05,10.1039/c6cc03833f
entry613,"3,4-di(1,2,4-oxadiazol-3-yl)-1,2,5-oxadiazole 2-oxide",O=[N+](OCC1=NC(C2=NOC(CO[N+]([O-])=O)=N2)=NO1)[O-],456.53,10.1021/acs.oprd.8b00076
entry614,"3,4-di(1,2,4-oxadiazol-3-yl)-1,2,5-oxadiazole 2-oxide",O=[N+](NC1=NC(CN2C(N[N+]([O-])=O)=NN=N2)=NN1)[O-],432.15,10.1039/c6ta05057c
entry615,"3,4-bis(5-amino-1,2,4-oxadiazol-3-yl)-1,2,5-oxadiazole 2-oxide",[O-][N+]1=C(C2=[N+]([O-])ON=C2[N+]([O-])=O)C(C3=[N+]([O-])ON=C3[N+]([O-])=O)=NO1,419.65,10.1039/c8ta02274g
entry616,"3,4-bis(5-(hydroxymethyl)isoxazol-3-yl)-1,2,5-oxadiazole 2-oxide",[O-][N+]1=C(C2=NOC(N)=N2)C(C3=NOC(N)=N3)=NO1,546.15, 10.1002/jhet.3109
entry617,"3,4-bis(5-((nitrooxy)methyl)isoxazol-3-yl)-1,2,5-oxadiazole 2-oxide",OCC1=CC(C2=[N+]([O-])ON=C2C3=NOC(CO)=C3)=NO1,528.25,10.1002/cplu.201900710
entry618,"3,4-bis(3,5-dinitrophenyl)-1,2,5-oxadiazole 2-oxide",[O-]/[N+](C1=NON=C1/N=[N+]([O-])/C2=NON=C2/[N+]([O-])=N/[N+]([O-])=O)=N\[N+]([O-])=O,368.15,10.1002/slct.202003182
entry619,"3,4-bis((Z)-N'-hydroxycarbamimidoyl)-1,2,5-oxadiazole 2-oxide",O/N=C(N)/C1=NON=C1/C(N)=N/O,471.15,10.1039/c4nj01351d
entry620,"3,4-bis((E)-(hydroxyimino)methyl)-1,2,5-oxadiazole 2-oxide",C1(NN2N=NN=C2)=NN=CN1/N=N/N3C(NN4N=NN=C4)=NN=C3,443.15,10.1016/j.cej.2020.124027
entry621,"3',4,8,8'-tetranitro-[7,7'-bipyrazolo[5,1-c][1,2,4]triazine]-3,4'-diamine",NC(/C([N+]([O-])=O)=N\NC1=NN=NN1)=O,421.15,10.1002/prep.202000136
entry622,"3,4,5-trinitro-1H-pyrazol-1-ol",O=[N+](C1=C(C([N+]([O-])=O)=NN1C[N+]([O-])=O)[N+]([O-])=O)[O-],475.15,10.1039/c7ta02585h
entry623,"3,4,5-trinitro-1-(nitromethyl)-1H-pyrazole",IC1=NN(C2=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C2[N+]([O-])=O)C(I)=C1I,377.15,10.1016/j.cej.2019.02.192
entry624,"3,4,5-triiodo-1-(2,4,6-trinitrophenyl)-1H-pyrazole",[O-]/[N+](C1=NON=C1N[N+]([O-])=O)=N/C2=NON=C2N[N+]([O-])=O,363.15,10.1021/ja501176q
entry625,"3,3',5,5'-tetraazido-4,4'-bi(1,2,4-triazole)",[O-][N+]1=C(C2=NNC(/N=N/C3=NC(C4=[N+]([O-])ON=C4N=[N+]=[N-])=NN3)=N2)C(N=[N+]=[N-])=NO1,470.15,10.1002/chem.202101987 
entry626,"3,3'',4',5,5''-pentanitro-1H,1'H,1''H-4,3':5',4''-terpyrazole",O=[N+](C1=CNN=C1C2=NOC(C3=NNC=C3[N+]([O-])=O)=N2)[O-],587.15,10.1002/cplu.201900454
entry627,"3,3'-(oxalylbis(nitroazanediyl))dipropionic acid",NC1=NON=C1C2=NON=C2C3=NON=C3N,543.35,10.1007/s10973-018-7242-7
entry628,"3,3'-(diazene-1,2-diyl)bis(1,2,4-oxadiazol-5(4H)-one)",NC(NC1=NON=C1/N=N/C2=NON=C2NC(N)=O)=O,523.15, 10.1002/jhet.3109
entry629,"3,3'-(4-nitro-1,3-phenylene)bis(4-nitro-1,2,5-oxadiazole 2-oxide)",OC1=C([N+]([O-])=O)C(/C=C/C2=C([N+]([O-])=O)C(/C=C/C3=C([N+]([O-])=O)C(O)=C([N+]([O-])=O)C=C3[N+]([O-])=O)=C([N+]([O-])=O)C=C2[N+]([O-])=O)=C([N+]([O-])=O)C=C1[N+]([O-])=O,541.45,10.1039/c4nj01091d
entry630,"3,3'-((1E,1'E)-(2,4,6-trinitro-1,3-phenylene)bis(ethene-2,1-diyl))bis(2,4,6-trinitrophenol)",NC1=[N+]([O-])ON=C1C2=NO[N+]([O-])=C2N,433.15,10.1002/ejic.201402960
entry631,3-(trinitromethyl)-1H-pyrazole,O=[N+](NC1=NC(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NN1)[O-],398.15,10.1039/c7nj00695k
entry632,"3-(dinitromethylene)-2,3,4,5-tetrahydro-1,2,4-triazin-5-ol",[O-][N+](ON=C1[N+]([O-])=O)=C1C#N,406.15,10.3390/molecules25245836
entry633,"3-(dinitromethyl)-5-nitro-1H-1,2,4-triazole",O=[N+](C([N+]([O-])=O)C1=NOC=N1)[O-],438.15,10.1039/c7dt03320f
entry634,"3-(dinitromethyl)-4-nitro-1,2,5-oxadiazole",O=C1NC(C([N+]([O-])=O)[N+]([O-])=O)=NO1,349.15,10.1002/chem.201704446
entry635,"3-(dinitromethyl)-1,2,4-oxadiazole",OC1C=NN/C(N1)=C([N+]([O-])=O)\[N+]([O-])=O,532.56,10.1007/s10973-019-09013-x
entry636,"3-(dinitromethyl)-1,2,4-oxadiazol-5(4H)-one",N/C(NNC1=NN=C(N2N=C(C)C=C2C)N=N1)=N\[N+]([O-])=O,471.3, 10.1002/prep.202000338
entry637,"3-(5-nitro-2H-1,2,3-triazol-4-yl)-1H-1,2,4-triazol-5-amine",NC1=NC(C2=NNC=C2[N+]([O-])=O)=NN1,554.15,10.1016/j.cej.2019.122331
entry638,"3-(5-amino-1H-1,2,4-triazol-3-yl)-4-azido-1,2,5-oxadiazole 2-oxide",NC1=NC(C2=[N+]([O-])ON=C2N=[N+]=[N-])=NO1,423.15,10.1002/chem.202101987 
entry639,"3-(5-amino-1,3,4-oxadiazol-2-yl)-4-nitro-1,2,5-oxadiazole 2-oxide",NC(N1O)=C([N+]([O-])=O)C(N)=[N+]([O-])C1=O,544.15,10.1021/jacs.1c05292
entry640,"3-(5-amino-1,2,4-oxadiazol-3-yl)-4-nitro-1,2,5-oxadiazole 2-oxide",NC1=NC(C2=[N+]([O-])ON=C2[N+]([O-])=O)=NO1,449.15,10.1039/c9nj00955h
entry641,"3-(5-amino-1,2,4-oxadiazol-3-yl)-4-nitro-1,2,5-oxadiazole 2-oxide",[O-][N+]1=C(C2=CC([N+]([O-])=O)=CC=C2)C([N+]([O-])=O)=NO1,448.15,10.3390/molecules25245836
entry642,"3-(5-amino-1,2,4-oxadiazol-3-yl)-4-azido-1,2,5-oxadiazole 2-oxide",NC1=NC(N=NC2=NOC(N2)=O)=NO1,539.9,10.11943/CJEM2018278
entry643,"3-(4-nitrophenyl)-1,2,3,4-oxatriazol-3-ium-5-olate",O=[N+](C1=NON=C1C2=NOC(N=NC3=NC(C4=NON=C4[N+]([O-])=O)=NO3)=N2)[O-],529.41, 10.1021/acs.cgd.8b01016
entry644,"3-(4-nitro-1H-pyrazol-3-yl)-1H-1,2,4-triazol-5-amine",[O-][N+]1=C(C2=NOC(N)=N2)C([N+]([O-])=O)=NO1,471.15, 10.1002/jhet.3109
entry645,"3-(4-nitro-1,2,5-oxadiazol-3-yl)-1,2,4-oxadiazol-5-amine",O=C(N1)ON=C1C2=NON=C2[N+]([O-])=O,494.83,10.1039/c8nj04428g
entry646,"3-(4-nitro-1,2,5-oxadiazol-3-yl)-1,2,4-oxadiazol-5(4H)-one",NC1=NON=C1C2=NON=C2C3=NON=C3[N+]([O-])=O,530.35,10.1002/prep.201500291
entry647,"3-(4,6-dinitro-1H-indazol-1-yl)-4H-1,2,4-triazol-4-amine",NN1C=NN=C1N(N=C2)C3=C2C([N+]([O-])=O)=CC([N+]([O-])=O)=C3,452.15, 10.1021/acs.cgd.9b00775
entry648,"3-(4,6-dinitro-1H-indazol-1-yl)-4H-1,2,4-triazol-4-amine",[N-]=[N+]=NC1=NC(NC2=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C2[N+]([O-])=O)=NC(N=[N+]=[N-])=N1,470.95,10.1016/j.tca.2015.01.026
entry649,"3-(4,6-dinitro-1H-indazol-1-yl)-4H-1,2,4-triazol-4-amine",NN1C=NN=C1N/N=C/C2=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C2[N+]([O-])=O,458.15,10.1039/d0nj03476b
entry650,"3-(4,6-dinitro-1H-indazol-1-yl)-4H-1,2,4-triazol-4-amine",NN1C(N)=NN=C1CC2=NON=C2/N=N\C3=NON=C3CC4=NN=C(N)N4N,586.15,10.1016/j.enmf.2020.07.001
entry651,"3-(4-((2,2,2-trinitroethyl)amino)-1,2,5-oxadiazol-3-yl)-1,2,4-oxadiazol-5(4H)-one",[O-]C1=N[N+](C2=CC=CC([N+]([O-])=O)=C2)=NO1,510.15, 10.1039/c8ta06895j
entry652,"3-(3-nitrophenyl)-1,2,3,4-oxatriazol-3-ium-5-olate",[O-][N+]1=C(C)C(/C=N/NC2=NN=CN2N)=NO1,481.15,10.1039/d0nj00541j
entry653,"3-(3,5-dinitrophenyl)-4-nitro-1,2,5-oxadiazole 2-oxide",CC1=CC(C)=NN1C2=NN=C(NN=CC3=CC=C(O)C=C3)N=N2,496.76,10.1107/S2053229618006617
entry654,"3-(3,5-dinitrophenyl)-1,2,3,4-oxatriazol-3-ium-5-olate",[O-][N+](ON=C1[N+]([O-])=O)=C1C2=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C2,426.15,10.3390/molecules25245836
entry655,"3-(3,5-dinitro-1H-pyrazol-1-yl)-4-nitro-1,2,5-oxadiazole",O=[N+](C(C=C1[N+]([O-])=O)=NN1C2=NNC=N2)[O-],573.15,.10.1021/acs.orglett.0c01960
entry656,"3-(3,5-dinitro-1H-pyrazol-1-yl)-1H-1,2,4-triazole",NC1=NC(N2N=C([N+]([O-])=O)C=C2[N+]([O-])=O)=NN1,529.15,.10.1021/acs.orglett.0c01960
entry657,"3-(3,5-dinitro-1H-pyrazol-1-yl)-1H-1,2,4-triazol-5-amine",[O-]C1=N[N+](C2=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C2)=NO1,502.15, 10.1039/c8ta06895j
entry658,"3-(3,4-dinitro-1-(trinitromethyl)-1H-pyrazol-5-yl)-4-nitro-1,2,5-oxadiazole",CC1=NON=C1C2=C([N+]([O-])=O)C([N+]([O-])=O)=NN2C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,414.15,10.1002/prep.201600050
entry659,"3-(3,4-dinitro-1-(trinitromethyl)-1H-pyrazol-5-yl)-4-methyl-1,2,5-oxadiazole",[O-]C1=N[N+](C2=CC=C([N+]([O-])=O)C=C2[N+]([O-])=O)=NO1,424.15, 10.1039/c8ta06895j
entry660,"3-(2,4-dinitrophenyl)-1,2,3,4-oxatriazol-3-ium-5-olate",O=[N+](C1=C(OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O)C=CC([N+]([O-])=O)=C1)[O-],457.65,10.1055/s-0035-1561474
entry661,"3-(1H-tetrazol-5-yl)-1H-1,2,4-triazol-5-amine",NC1=NC(C2=NC([N+]([O-])=O)=NN2)=NN1,528.15,10.1039/c3dt51205c
entry662,"3-((methyl(nitro)amino)methyl)-4,6-dinitro-1H-benzo[d][1,2,3]triazol-3-ium-1-olate",CN([N+]([O-])=O)CN1C([N+]([O-])=O)=C([N+]([O-])=O)N=C1,463.15,10.1039/c6nj00202a
entry663,"3-((5-amino-1,2,4-oxadiazol-3-yl)diazenyl)-1,2,4-oxadiazol-5(4H)-one",[O-][N+]1=C(C2=NN=NN2)C(C3=NOC(N[N+]([O-])=O)=N3)=NO1,394.35,10.1039/c8dt03616k
entry664,"3-((4-amino-3,5-dinitro-1H-pyrazol-1-yl)methyl)-1,2,4-oxadiazol-5-amine",NC1=NC(CN2C([N+]([O-])=O)=C([N+]([O-])=O)C([N+]([O-])=O)=N2)=NO1,474.65,10.1021/acs.cgd.0c00016
entry665,"3-((3,4-dinitro-1H-pyrazol-1-yl)methyl)-5-((4,5-dinitro-1H-pyrazol-1-yl)methyl)-4H-1,2,4-triazol-4-amine",NN1C(CN2N=C([N+]([O-])=O)C([N+]([O-])=O)=C2[N+]([O-])=O)=NN=C1CN3N=C([N+]([O-])=O)C([N+]([O-])=O)=C3[N+]([O-])=O,486.15,10.1002/chem.201501612
entry666,"3-((3,4,5-trinitro-1H-pyrazol-1-yl)methyl)-1,2,4-oxadiazol-5-amine",O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NC=CC=C1)[O-],387.15,10.3390/molecules23010002
entry667,"3-((1H-tetrazol-5-yl)amino)-6-amino-1,2,4,5-tetrazine 1-oxide",NC1=NC(CN([N-]2)C(C([N+]#N)=C2[N+]([O-])=O)=O)=NO1,393.75,10.1021/acs.cgd.0c00016
entry668,"2-nitro-2-(1H-tetrazol-5-yl)ethene-1,1-diamine",N/C(N)=C([N+]([O-])=O)\C1=NC=NN1,540.15,10.1021/jacs.0c01640
entry669,"2-nitro-2-(1H-1,2,4-triazol-5-yl)ethene-1,1-diamine",N/C(N)=C([N+]([O-])=O)\C1=NC=NC(N)=N1,549.15,10.1021/jacs.0c01640
entry670,"2-nitro-2-((nitrooxy)methyl)propane-1,3-diyl dinitrate",O=[N+](OCC(CO[N+]([O-])=O)([N+]([O-])=O)CO[N+]([O-])=O)[O-],453.05,10.1016/j.tca.2013.05.032
entry671,"2-nitro-2-(((nitrocarbamoyl)oxy)methyl)propane-1,3-diyl bis(nitrocarbamate)",O=C(OCC(COC(N[N+]([O-])=O)=O)([N+]([O-])=O)COC(N[N+]([O-])=O)=O)N[N+]([O-])=O,421.15, 10.1002/zaac.201500795
entry672,2-nitro-1H-benzo[d]imidazole,C=CN1N=NC(CCC2=NN=NN2C=C)=N1,459.15, 10.1515/znb-2016-0146
entry673,2-nitro-1-(trinitromethyl)-1H-imidazole,O=[N+](C1=CC2=C(N/C(N2)=N/[N+]([O-])=O)C=C1[N+]([O-])=O)[O-],523.15, 10.1002/prep.201400045
entry674,2-methyl-5-nitro-2H-tetrazole,CN1N=NC(N2N=NN=C2)=N1,408.15,10.1002/chem.201300691
entry675,"2'-methyl-2'H-1,5'-bitetrazole",CN1N=NC(N([N+]([O-])=O)CN([N+]([O-])=O)C)=N1,389, 10.1002/zaac.200900521
entry676,"2-methyl-2-((nitrooxy)methyl)propane-1,3-diyl dinitrate",CC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O,455.05,10.1016/j.tca.2013.05.032
entry677,"2-methyl-1-(4-((((4-((E)-2-methyl-1-oxidodiazen-1-yl)-1,2,5-oxadiazol-3-yl)(nitro)amino)methyl)(nitro)amino)-1,2,5-oxadiazol-3-yl)diazene 1-oxide",O=[N+](N(CN(C1=NON=C1C2=NOC=N2)[N+]([O-])=O)C3=NON=C3C4=NOC=N4)[O-],422.15,10.1039/c6ta08055c
entry678,"2-methoxy-4,6-bis(2,2,2-trinitroethoxy)-1,3,5-triazine",O=[N+](C(C1=NC(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NC(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=N1)([N+]([O-])=O)[N+]([O-])=O)[O-],442.65,10.1039/c6ra05826d
entry679,"2'H-1,5'-bitetrazole",O=[N+](C(C1=NC(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NN1)[N+]([O-])=O)[O-],416.15,10.1039/c7ta00730b
entry680,"2H,2'H-[5,5'-bitetrazole]-2,2'-diol",C1(NC2=NN=NN2)=NN=NN1,523.15,10.1039/b811273h
entry681,"2-ethyl-2-((nitrooxy)methyl)propane-1,3-diyl dinitrate",CCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O,450.85,10.1016/j.tca.2013.05.032
entry682,2-azidobenzaldehyde,COC1=NC(OC)=NC(N=[N+]=[N-])=N1,460.15,10.1021/acs.joc.9b00269
entry683,"2-azido-4,6-dimethoxy-1,3,5-triazine",O=[N+](C(COC1=NC(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NC(N=[N+]=[N-])=N1)([N+]([O-])=O)[N+]([O-])=O)[O-],443.05,10.1039/c6ra05826d
entry684,"2-azido-4,6-bis(2,2,2-trinitroethoxy)-1,3,5-triazine",NN1N=NC([N+]([O-])=O)=N1,413.15,10.1039/c2dt30684k
entry685,"2a1-nitrohexahydro-2H-1,3,5-trioxacyclopenta[cd]pentalene-2,4,6-triyl tris(nitrocarbamate)",O=[N+](O[C@H]1OC2C3([N+]([O-])=O)C1O[C@H](O[N+]([O-])=O)C3O[C@@H]2O[N+]([O-])=O)[O-],429.93, 10.1039/c7ra05295b
entry686,"2,9-dinitro-5,6-dihydrobis([1,2,4]triazolo)[1,5-a:5',1'-c]pyrazine",CC(C([N+]([O-])=O)=CC([N+]([O-])=N[N+]([O-])=O)=C1)=C1[N+]([O-])=O,410.15,10.1039/c4ta04716h
entry687,"2,6-diiodo-3,5-dinitro-4H,9H-dipyrazolo[1,5-a:5',1'-d][1,3,5]triazine",O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NC(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=CC=C1)[O-],374.15,10.3390/molecules23010002
entry688,"2,6-diamino-9H-purine 1-oxide",NC(O1)=NN=C1C2=[N+]([O-])ON=C2[N+]([O-])=O,423.15,10.1016/j.enmf.2020.09.004
entry689,"2,6-bis(trinitromethyl)pyridine",O=[N+](C1=C(NC(N=C(NC2=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C2[N+]([O-])=O)C([N+]([O-])=O)=C3)=C3[N+]([O-])=O)C([N+]([O-])=O)=CC([N+]([O-])=O)=C1)[O-],633.15,10.1002/chem.201600769
entry690,"2,5-bis(trinitromethyl)-1,3,4-oxadiazole",O=[N+](C([N+]([O-])=O)C1=NN(C([N+]([O-])=O)[N+]([O-])=O)N=N1)[O-],361.15,10.1021/acs.orglett.9b01565
entry691,"2,5-bis(dinitromethyl)-2H-tetrazole",O=[N+](C([N+]([O-])=O)C1=NN=C(C([N+]([O-])=O)[N+]([O-])=O)O1)[O-],359.15,10.1021/jacs.7b05158
entry692,"2,5-bis(dinitromethyl)-1,3,4-oxadiazole",O=[N+](C1=CNN=C1C2=NN=C(C3=NNC=C3[N+]([O-])=O)O2)[O-],611.15,10.1039/d0nj00518e
entry693,"2,5-bis(4-nitro-1H-pyrazol-3-yl)-1,3,4-oxadiazole",O=[N+](C1=CN([N+]([O-])=O)N=C1C2=NN=C(C3=NN([N+]([O-])=O)C=C3[N+]([O-])=O)O2)[O-],432.15,10.1039/d0nj00518e
entry694,"2,5-bis(4-azido-1,2,5-oxadiazol-3-yl)-1,3,4-oxadiazole",O=C(CN(CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O)N=[N+]=[N-],362.15,10.1002/chem.201301190
entry695,"2,5-bis(1,4-dinitro-1H-pyrazol-3-yl)-1,3,4-oxadiazole",CN([N+]([O-])=O)CN1N=NC(N([N+]([O-])=O)CN([N+]([O-])=O)C)=N1,397, 10.1002/zaac.200900521
entry696,"2,4-dinitro-1H-imidazole-1,5-diamine",O=[N+](/N=C1N(N[N+]([O-])=O)N=NN/1)[O-],383.15,10.1002/anie.201502919
entry697,"2,4-dinitro-1H-imidazol-5-amine",NC1=[NH+]N=NN1/N=[N+]([O-])/[O-],358.15,10.1002/chem.201102142
entry698,"2,4-bis(dinitromethylene)-1,3,5-triazinane",NN1N=C([N+]([O-])=O)C([N+]([O-])=O)=C1C2=C([N+]([O-])=O)C([N+]([O-])=O)=NN2N,525.15, 10.1021/jacs.7b08789
entry699,"2,4-bis(2,2,2-trinitroethoxy)-6-(trinitromethyl)-1,3,5-triazine",O=[N+](C(COC1=NC(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NC(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=N1)([N+]([O-])=O)[N+]([O-])=O)[O-],441.95,10.1039/c6ra05826d
entry700,"2,4,6-tris(2,2,2-trinitroethoxy)-1,3,5-triazine",OC1=C([N+]([O-])=O)C=C([N+]([O-])=O)N=C1[N+]([O-])=O,504.55, 10.1002/prep.202000177
entry701,"2,4,6-trinitropyridin-3-ol",O=[N+](N1C2N([N+]([O-])=O)C3N([N+]([O-])=O)C4N([N+]([O-])=O)C3N([N+]([O-])=O)C2N([N+]([O-])=O)C14)[O-],485.15,10.1016/j.tca.2005.02.021
entry702,"2,4,6-trinitro-5-(7H-tris([1,2,5]oxadiazolo)[3,4-b:3',4'-d:3'',4''-f]azepin-7-yl)benzene-1,3-diamine",[O-][N+]1=C2C3=NON=C3N(C4=C([N+]([O-])=O)C(N)=C([N+]([O-])=O)C(N)=C4[N+]([O-])=O)C5=NON=C5C2=NO1,575.15,10.1021/acsaem.0c01181
entry703,"2,4,6-trinitro-3-(7H-tris([1,2,5]oxadiazolo)[3,4-b:3',4'-d:3'',4''-f]azepin-7-yl)aniline",[O-][N+]1=C2C3=NON=C3N(C4=C([N+]([O-])=O)C(N)=C([N+]([O-])=O)C=C4[N+]([O-])=O)C5=NON=C5C2=NO1,587.15,10.1021/acsaem.0c01181
entry704,"2,3-dinitro-2,3-bis(((nitrocarbamoyl)oxy)methyl)butane-1,4-diyl bis(nitrocarbamate)",O=[N+](C1=NN2C(NC3=C([N+]([O-])=O)C([N+]([O-])=O)=NN3CC2)=C1[N+]([O-])=O)[O-],580.15,10.1002/anie.201704687
entry705,"2,3,5,6-tetranitro-9,10-dihydro-4H-dipyrazolo[1,5-a:5',1'-d][1,3,5]triazepine",O=[N+](C1=NN2C(NC3=C([N+]([O-])=O)C([N+]([O-])=O)=NN3C2)=C1[N+]([O-])=O)[O-],534.15,10.1002/anie.201704687
entry706,"2,3,5,6-tetranitro-4H,9H-dipyrazolo[1,5-a:5',1'-d][1,3,5]triazine",NN1C2=C([N+]([O-])=O)C([N+]([O-])=O)=NN2CN3N=C([N+]([O-])=O)C([N+]([O-])=O)=C13,515.15,10.1002/anie.201704687
entry707,"2,3,5,6-tetranitro-4H,9H-dipyrazolo[1,5-a:5',1'-d][1,3,5]triazin-4-amine",O=C(OCC([N+]([O-])=O)([N+]([O-])=O)C)N[N+]([O-])=O,413.15,10.1021/acs.joc.5b00655
entry708,"2,3,5,12,14,15,17,18,20,27,29,30-dodecaaza-1,16(3,6)-ditetrazinacyclotriacontaphane-4,13,19,28-tetraone",O=C(NC1=CC(NC(NNC2=NN=C(N=N2)NNC3=O)=O)=CC(C)=C1)NNC4=NN=C(NNC(NC5=CC(C)=CC(N3)=C5)=O)N=N4,488.45, 10.1039/c5ra21345b
entry709,"2,3,5,10,12,13,15,16,18,23,25,26-dodecaaza-1,14(3,6)-ditetrazinacyclohexacosaphane-4,11,17,24-tetraone",O=C(NCCCCCCNC(NNC1=NN=C(N=N1)NNC2=O)=O)NNC3=NN=C(NNC(NCCCCCCN2)=O)N=N3,483.05, 10.1039/c5ra21345b
entry710,"2,2-dinitropropyl nitrocarbamate",O=C(OCC([N+]([O-])=O)([N+]([O-])=O)C)N,465.15,10.1021/acs.joc.5b00655
